LIQUIDITY_POOL_ADDRESS,POOL_NAME,TOKEN0_ADDRESS,TOKEN0_DECIMALS,TOKEN1_ADDRESS,TOKEN1_DECIMALS,FEE
0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,uniswap: DAI-USDT 500,0x6b175474e89094c44da98b954eedeac495271d0f,18,0xdac17f958d2ee523a2206206994597c13d831ec7,6,500
0xc0d19f4fae83eb51b2adb59eb649c7bc2b19b2f6,uniswap: USDC-BOB 100,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xb0b195aefa3650a6908f15cdac7d92f8a5791b0b,18,100
0x9359c87b38dd25192c5f2b07b351ac91c90e6ca7,uniswap: DPI-WETH 3000,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5,uniswap: HEX-USDC 3000,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,3000
0x919fa96e88d67499339577fa202345436bcdaf79,uniswap: WETH-CRV 3000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xd533a949740bb3306d119cc777fa900ba034cd52,18,3000
0x4628a0a564debfc8798eb55db5c91f2200486c24,uniswap: RNDR-WETH 3000,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0xfcfdfc98062d13a11cec48c44e4613eb26a34293,uniswap: WETH-COW 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,18,10000
0x0188c28ea32d7860334be1a8068cfbadce18f1d9,uniswap: WETH-SES 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xe410fbd0977c8a2f276283425de488129f7faff9,9,10000
0x353bb62ed786cdf7624bd4049859182f3c1e9e5d,uniswap: XEN-USDC 10000,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,10000
0x95b70b320819b1566c9a00626f57fde85b402ea4,uniswap: EWTB-WETH 10000,0x178c820f862b14f316509ec36b13123da19a6054,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xc8fa85920a4cb22d8c6d15e0125f5c76f27a3a73,uniswap: HIPP-WETH 10000,0x7b744eea1deca2f1b7b31f15ba036fa1759452d7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xf18c97261e4152c173779f749bbebc9e856d1838,uniswap: PMON-WETH 10000,0x1796ae0b0fa4862485106a0de9b654efe301d0b2,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xa2ff3d4ffaf8c67cfc71a19ea437bcc2a9893d16,uniswap: TKING-WETH 3000,0x24e89bdf2f65326b94e36978a7edeac63623dafa,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0x06b009d577296d4f2d81258da4f9ba78f55f9be2,uniswap: WETH-LICK 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xc2d0ed2cda1579169ab3c9f0e0be0e575db9718d,18,10000
0xa6d781140bea7b6e7c741b2524ae92874c03b620,uniswap: WETH-SAIL 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xd8f1460044925d2d5c723c7054cd9247027415b7,18,10000
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,uniswap: wstETH-WETH 100,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,100
